Timestamp,Plug_Basement,Cooling,Exhaust fan,EHW,Sumppump,Emergency light load,EL,Fire alarm,Heat pump electric,Heating,IT,Lighting,Plug1,Plug2,Plug3,PV_meter1_load (kW),PV_meter2_load (kW),Battery cabinet,Solar_hot_water_load (kW),Solar rapid shutdown,Control,NET,IN,OUT
2023-06-02 06:00:00-04:00,0.099596608,0.00191725,0.003909833,0,0.00111225,0.047,0,0.065265,0,0,0.639217839,0.002002367,0.011649866,0.011934765,0.0011041,0.33530839,0.459533186,0.003104,0,0.00387575,0.134062219,0.237980589,0.34203907,-0.10405848
2023-06-02 07:00:00-04:00,0.064644577,0.001899951,0.003925311,0,0.001111639,0.049023311,0,0.065459295,0,0,0.641335369,0.0091101,0.011740116,0.011961432,0.0011135,1.274844945,1.32572838,0.003095683,0,0.003997333,0.130451421,-1.60005451,0,-1.60005451
2023-06-02 08:00:00-04:00,0.182965803,0.00191,0.003897,0,0.001095417,0.046767084,0,0.064910467,0,0,0.644466459,0.002004067,0.012470032,0.011946849,0.001093967,2.553256373,2.185295294,0.003107667,0,0.004056583,0.140214002,-3.616930407,0,-3.616930407
2023-06-02 09:00:00-04:00,0.161322442,0.001902083,0.00391725,0.23789734,0.0011125,0.046914833,0,0.065283217,0,0,0.642507649,0.002005067,0.026401064,0.031560198,0.001068283,3.635187531,3.228502572,0.00311375,0,0.003976917,0.13035417,-5.53106719,0,-5.53106719
2023-06-02 10:00:00-04:00,0.069120293,0.00190875,0.00388775,0,0.00110075,0.046773917,0,0.0650481,0,0,0.641543474,0.002685933,0.026558597,0.108646706,0.001096917,4.312876948,3.817424838,0.003098167,0,0.003941,0.131014368,-7.016925979,0,-7.016925979
2023-06-02 11:00:00-04:00,0.109400991,0.001873917,0.003866083,0.080859264,0.001085083,0.046374167,0,0.064646333,0,0,0.644193651,0.001996083,0.026388714,0.107168409,0.00106075,4.760639906,4.352088412,0.003102417,0,0.00403575,0.130617637,-7.878203122,0,-7.878203122
2023-06-02 12:00:00-04:00,0.07420906,0.00192525,0.003848167,0.15744923,0.001073667,0.045947166,0,0.06371005,0,0,0.643233634,0.00199205,0.05920688,0.114885091,0.001073117,4.943548258,4.743133926,0.0031045,0,0.003927583,0.131886247,-8.364283081,0,-8.364283081
2023-06-02 13:00:00-04:00,0.126216883,0.00190925,0.0038535,0,0.001056417,0.045647751,0,0.0637785,0,0,0.643662097,0.00945685,0.151178774,0.112794542,0.001066417,4.711943992,4.792437951,0.0030945,0,0.004084667,0.131232887,-8.196710062,0,-8.196710062
2023-06-02 14:00:00-04:00,0.105976507,0.001913667,0.003828333,0,0.001054917,0.045580083,0,0.0640028,0,0,0.642702447,0.001977817,0.077085564,0.127914506,0.001199267,4.337544696,4.459640861,0.003085678,0,0.0039745,0.13425132,-7.574882293,0,-7.574882293
2023-06-02 15:00:00-04:00,0.055846478,0.001919167,0.003846833,0.237867689,0.001048667,0.045402667,0,0.063915349,0,0,0.643522459,0.00196385,0.026633448,0.113683541,0.001082767,3.509924658,3.608202449,0.003088167,0,0.0041565,0.130437703,-5.795068523,0,-5.795068523
2023-06-02 16:00:00-04:00,0.105368324,0.00189125,0.003838,0,0.001049917,0.045293833,0,0.0642933,0,0,0.642832129,0.002299483,0.019845331,0.034764078,0.0010607,1.241309507,1.240890081,0.003096417,0,0.004171417,0.130964802,-1.420340266,0.014325942,-1.434666208
2023-06-02 17:00:00-04:00,0.091090408,0.001913417,0.003822083,0,0.001057,0.045563333,0,0.064104933,0,0,0.643652091,0.0019607,0.011754066,0.012092715,0.001087917,0.386122383,0.37126406,0.003094833,0,0.0041115,0.131761136,0.26691574,0.266926232,-1.05E-05
2023-06-02 18:00:00-04:00,0.06948161,0.001899333,0.0038285,0.236521192,0.001034,0.045172083,0,0.063700133,0,0,0.641394578,0.001943467,0.011727566,0.011970149,0.0010454,0.20476068,0.195837297,0.003105417,0,0.004093833,0.13080892,0.832751087,0.832751087,0
2023-06-02 19:00:00-04:00,0.102979374,0.001908083,0.003845,0,0.001060083,0.045585333,0,0.06410665,0,0,0.642523545,0.002729367,0.011695516,0.012240032,0.00106165,-0.000713032,-0.000676332,0.003086917,0,0.004117667,0.129546837,1.075835725,1.075835725,0
2023-06-02 20:00:00-04:00,0.078329576,0.0018955,0.003851917,0,0.001083,0.046044084,0,0.064750916,0,0,0.642536932,0.004939483,0.011823699,0.012101499,0.001045683,0,0,0.003104583,0,0.00409375,0.130047001,1.053079975,1.053079975,0
2023-06-02 21:00:00-04:00,0.084249376,0.001921667,0.0038875,0,0.001102083,0.0467695,0,0.0655851,0,0,0.646155282,0.002627817,0.011742632,0.012000315,0.001075883,0,0,0.003087,0,0.003831583,0.130677787,1.062857916,1.062857916,0
2023-06-02 22:00:00-04:00,0.102630424,0.001911917,0.003948333,0,0.00113425,0.047338334,0,0.066061649,0,0,0.642098127,0.002968,0.011780516,0.012066015,0.00110495,0,0,0.0031115,0,0.003972,0.132421903,1.078752319,1.078752319,0
2023-06-02 23:00:00-04:00,0.059211512,0.001908417,0.003975917,0.245036912,0.001129,0.047456584,0,0.066171384,0,0,0.638966992,0.006051033,0.011917883,0.011987265,0.0011037,0,0,0.003106917,0,0.003969333,0.135452053,1.282043268,1.282043268,0
2023-06-03 00:00:00-04:00,0.097303258,0.001891833,0.003970867,0,0.001151667,0.04772275,0,0.066355217,0,0,0.638723698,0.00201625,0.011755099,0.012171399,0.001102567,0,0,0.003124083,0,0.003920417,0.135998671,1.07757204,1.07757204,0
2023-06-03 01:00:00-04:00,0.081089193,0.001904083,0.003994633,0,0.001145933,0.048620583,0,0.066525384,0,0,0.650850644,0.004743717,0.011776849,0.012087865,0.00110155,0,0,0.003119083,0,0.003904417,0.139261152,1.072740779,1.072740779,0
2023-06-03 02:00:00-04:00,0.076269226,0.001900333,0.004050583,0,0.00116325,0.048400667,0,0.066988067,0,0,0.640551669,0.0020464,0.011887866,0.011999132,0.00113135,0,0,0.003115833,0,0.00410475,0.129523654,1.062401551,1.062401551,0
2023-06-03 03:00:00-04:00,0.095552741,0.001916833,0.004087267,0,0.001162917,0.0487215,0,0.067425534,0,0,0.639437136,0.002071883,0.011932266,0.012078149,0.001113217,0,0,0.0031145,0,0.003815083,0.130856421,1.076438977,1.076438977,0
2023-06-03 04:00:00-04:00,0.061203245,0.001900833,0.004079167,0.25395879,0.00118975,0.049142333,0,0.067034117,0,0,0.638959394,0.00208345,0.011830933,0.012121149,0.001118917,0,0,0.003125917,0,0.00401675,0.128422355,1.288841659,1.288841659,0
2023-06-03 05:00:00-04:00,0.092090825,0.001925917,0.004111783,0,0.001178833,0.049072667,0,0.067589999,0,0,0.638419277,0.002086017,0.011843899,0.012022982,0.001146633,0,0,0.00311225,0,0.004223167,0.128330755,1.063571348,1.063571348,0
2023-06-03 06:00:00-04:00,0.081879325,0.001906167,0.00412845,0,0.00118325,0.049065583,0,0.067517516,0,0,0.638010555,0.0020834,0.011810333,0.012056965,0.00118115,0.002511339,0.003460301,0.003125917,0,0.003950917,0.132198219,1.037710153,1.037710153,0
2023-06-03 07:00:00-04:00,0.070384543,0.001916333,0.004078333,0,0.00116675,0.048464417,0,0.06706445,0,0,0.638448743,0.00206045,0.011752616,0.011930632,0.001125233,0.142779351,0.143591997,0.003118333,0,0.00408225,0.131219885,0.711985129,0.711985129,0
2023-06-03 08:00:00-04:00,0.098171857,0.001898833,0.004041917,0,0.00114325,0.047970333,0,0.066494766,0,0,0.638681439,0.002038783,0.011801466,0.012021232,0.001099133,0.4336019,0.418958538,0.0031095,0,0.004085833,0.131372251,0.179113613,0.211621069,-0.032507455
2023-06-03 09:00:00-04:00,0.053872545,0.001904083,0.004035083,0.246667043,0.001141333,0.048314833,0,0.066526534,0,0,0.641595188,0.005198317,0.011656516,0.012052299,0.001108633,0.610585799,0.591685221,0.003122917,0,0.003952833,0.133166704,0.029921343,0.271631609,-0.241710266
2023-06-03 10:00:00-04:00,0.102439574,0.0019115,0.00404275,0,0.001149667,0.048276083,0,0.066577966,0,0,0.63864779,0.00203315,0.011724466,0.012148032,0.001135667,0.794091845,0.763263711,0.003104417,0,0.004049167,0.129847087,-0.522742121,0.001542229,-0.524284351
2023-06-03 11:00:00-04:00,0.078299276,0.001895917,0.004041083,0,0.00114125,0.04804875,0,0.066343133,0,0,0.63897029,0.00202585,0.011829599,0.012126482,0.001121617,1.106321077,1.063900934,0.003103833,0,0.003985417,0.12682237,-1.159535736,0,-1.159535736
2023-06-03 12:00:00-04:00,0.075960142,0.001910417,0.004056583,0,0.001158083,0.048309916,0,0.066873384,0,0,0.639252622,0.002040567,0.011785933,0.012001782,0.001095067,1.32717215,1.272918825,0.003112083,0,0.004108917,0.131873385,-1.588348789,0,-1.588348789
2023-06-03 13:00:00-04:00,0.099661724,0.001899917,0.004068067,0,0.001165583,0.048489751,0,0.06651955,0,0,0.639438453,0.002053217,0.011791666,0.012032199,0.001119717,1.568606783,1.502740478,0.003117667,0,0.004179583,0.13631707,-2.033255574,0,-2.033255574
