Timestamp,Plug_Basement,Cooling,Exhaust fan,EHW,Sumppump,Emergency light load,EL,Fire alarm,Heat pump electric,Heating,IT,Lighting,Plug1,Plug2,Plug3,PV_meter1_load (kW),PV_meter2_load (kW),Battery cabinet,SHW,Solar rapid shutdown,Control,NET,IN,OUT
2022-06-02 05:00:00-04:00,0.073800024,0.001987,0.003950833,0,0.001122917,0.030233933,0.108397495,0.064479634,0,0.032067282,0.642953995,0.00509505,0.014381116,0.015741099,0.002575667,-0.049309287,-0.048874127,0.003100517,0.000250517,0.003882083,0.198595765,1.313853039,1.313853039,0
2022-06-02 06:00:00-04:00,0.070312025,0.00200475,0.003926883,0,0.00111255,0.029972233,0.107977762,0.06416215,0,0.031984766,0.642173902,0.00594375,0.014229132,0.015531865,0.002562383,-0.046750761,-0.049990861,0.003102333,0.000343417,0.0040957,0.198946496,1.313999913,1.313999913,0
2022-06-02 07:00:00-04:00,0.034914563,0.00201345,0.003928367,0,0.001112467,0.030031617,0.108059978,0.064365184,0,0.031993032,0.642760132,0.0021045,0.014574215,0.015049899,0.002560833,-0.041072722,-0.041707111,0.003102,0.000227583,0.004162983,0.198830194,1.252043243,1.252043243,0
2022-06-02 08:00:00-04:00,0.076081275,0.00197065,0.003904533,0,0.00112145,0.029927267,0.107864129,0.064128567,0,0.031897733,0.64075499,0.003137633,0.014409282,0.015573232,0.0025724,0.84237353,0.838588174,0.003107917,0.000320417,0.0042186,0.199601797,-0.473044589,0.017698912,-0.490743501
2022-06-02 09:00:00-04:00,0.081735174,0.002003217,0.003911017,0,0.0011247,0.02994925,0.107780462,0.06427885,0,0.031993033,0.659477396,0.002109767,0.050455778,0.026590132,0.0025609,1.89204005,1.880458506,0.003106317,0.000137833,0.00418575,0.199330631,-2.505203829,0,-2.505203829
2022-06-02 10:00:00-04:00,0.080914641,0.00199775,0.003907283,0.242581971,0.0011165,0.02985465,0.107304212,0.063979201,0,0.031860849,0.674254567,0.003673083,0.091081223,0.026831082,0.002545567,2.315968829,2.304901119,0.003115483,0.0038223,0.004161233,0.19867783,-3.051929168,0.114381965,-3.166311133
2022-06-02 11:00:00-04:00,0.078427857,0.001996383,0.003860733,0,0.001104967,0.029668633,0.10688078,0.063435667,0,0.031864149,0.674005825,0.002761333,0.093077889,0.026707449,0.002536383,2.014828291,2.007493494,0.003115367,0.0008982,0.004006067,0.199411831,-2.688015602,0,-2.688015602
2022-06-02 12:00:00-04:00,0.080598991,0.002004783,0.003869633,0,0.001098017,0.02947465,0.104935312,0.063778867,0,0.031821716,0.669981251,0.002086667,0.080474858,0.023746099,0.002537333,1.491515464,1.487651471,0.003102183,0,0.004036017,0.199658599,-1.667086381,0,-1.667086381
2022-06-02 13:00:00-04:00,0.132076532,0.0020034,0.00385725,0,0.0010942,0.029322783,0.104652329,0.064211467,0,0.031802682,0.672174586,0.002422133,0.042372795,0.015582782,0.003377933,1.161738324,1.15786384,0.0031139,0,0.004068417,0.199403665,-0.993814338,0,-0.993814338
2022-06-02 14:00:00-04:00,0.08496334,0.002003167,0.003902133,0,0.00111405,0.029746783,0.105435596,0.064228267,0,0.031913583,0.671400654,0.002102117,0.083924424,0.015140382,0.025723499,1.323035517,1.322930663,0.0031127,0,0.004177783,0.198224698,-1.301583397,0,-1.301583397
2022-06-02 15:00:00-04:00,0.101663607,0.00199755,0.003893117,0.323263009,0.001099867,0.029730517,0.105449029,0.06408165,0,0.031844532,0.674271883,0.0033898,0.092023304,0.015745249,0.004202333,1.121394352,1.11597845,0.003102583,0.0001165,0.004063533,0.198133848,-0.571993766,0.244737025,-0.816730791
2022-06-02 16:00:00-04:00,0.195523234,0.002009417,0.003902,0,0.0011085,0.029788867,0.105761096,0.0642061,0,0.032004382,0.671789176,0.048713048,0.094842256,0.015136015,0.00258935,1.023394437,1.018838381,0.003107217,0,0.004131283,0.198239064,-0.562315504,0,-0.562315504
2022-06-02 17:00:00-04:00,0.11767519,0.002016117,0.0039158,0,0.001108,0.029919084,0.105946779,0.064566917,0,0.031854566,0.673158906,0.023028266,0.014226115,0.015311282,0.0025683,0.664639897,0.664613682,0.00310375,0.000211533,0.004136317,0.199094946,-0.029323332,0.123855657,-0.15317899
2022-06-02 18:00:00-04:00,0.079233524,0.00202775,0.003890733,0,0.001103067,0.0298733,0.105754678,0.064079067,0,0.031818365,0.675814058,0.002091667,0.014314915,0.015176649,0.002559917,0.335114401,0.333871842,0.003111517,0.000371383,0.004273417,0.19928625,0.581026834,0.581026834,0
2022-06-02 19:00:00-04:00,0.07539754,0.001988667,0.003846517,0,0.001104517,0.029922217,0.104790912,0.063635601,0,0.031776599,0.656838293,0.012753799,0.014831732,0.015514282,0.004326533,0.024851251,0.027477934,0.003116717,0,0.004043083,0.19866478,1.1818456,1.1818456,0
2022-06-02 20:00:00-04:00,0.084648923,0.001987733,0.003842867,0,0.001084183,0.029341684,0.104711429,0.0637174,0,0.031833999,0.643263237,0.008370717,0.014264999,0.015339549,0.004624017,-0.047159706,-0.047820309,0.003100533,0,0.004162233,0.198649414,1.31598803,1.31598803,0
2022-06-02 21:00:00-04:00,0.075148057,0.0020057,0.003854517,0.241661596,0.001107817,0.029541516,0.104996245,0.06394535,0,0.031837899,0.645789385,0.002075983,0.014730566,0.015280065,0.002531917,-0.047353692,-0.047909438,0.00311625,0,0.00387285,0.198495296,1.544405768,1.544405768,0
2022-06-02 22:00:00-04:00,0.079424924,0.001999517,0.003887633,0,0.00110125,0.029651817,0.105357746,0.063661283,0,0.031878433,0.643115081,0.00522425,0.014334416,0.015338649,0.002540467,-0.048098181,-0.050158633,0.00311295,0,0.004157667,0.205140996,1.314078593,1.314078593,0
2022-06-02 23:00:00-04:00,0.074399641,0.001998283,0.003900567,0,0.00110265,0.029868617,0.105876945,0.064024983,0,0.031911866,0.64112212,0.002093617,0.014603349,0.015907665,0.002551433,-0.049366958,-0.049084021,0.003118717,0.0001125,0.004004767,0.203877183,1.309850591,1.309850591,0
2022-06-03 00:00:00-04:00,0.044012496,0.002002933,0.0039257,0,0.001119767,0.0299988,0.106192379,0.064086399,0,0.032040699,0.642277503,0.002105917,0.013968766,0.015707915,0.002568967,-0.049256858,-0.049256858,0.00310615,0.000114,0.003900433,0.202329932,1.274935375,1.274935375,0
2022-06-03 01:00:00-04:00,0.057224256,0.002008541,0.003940246,0,0.001132607,0.030214016,0.106627094,0.064431164,0,0.032061212,0.642255496,0.002101344,0.014288917,0.014993556,0.002575557,-0.048908335,-0.048067755,0.003108738,0.000225738,0.003992721,0.199130735,1.299372345,1.299372345,0
2022-06-03 02:00:00-04:00,0.082193858,0.001979117,0.003951083,0.329275004,0.00114565,0.030497217,0.107129079,0.064342817,0,0.032138649,0.644140283,0.002100167,0.014202882,0.015248065,0.002588233,-0.04887937,-0.04876927,0.003117467,0.000780267,0.004004817,0.203364747,1.64735739,1.64735739,0
2022-06-03 03:00:00-04:00,0.073286608,0.002010217,0.00398025,0,0.001146467,0.030672917,0.107470462,0.064696733,0,0.032201533,0.64374379,0.002111633,0.014708765,0.015385315,0.002597617,-0.050011832,-0.049251615,0.0031097,0.00127385,0.004019933,0.199294747,1.310495808,1.310495808,0
2022-06-03 04:00:00-04:00,0.082697923,0.00199235,0.0039551,0,0.001138,0.030492517,0.107134045,0.06457855,0,0.032120932,0.644775045,0.002104283,0.014383165,0.015313032,0.00258665,-0.049927946,-0.051034194,0.003127567,0.000592717,0.003974783,0.198839597,1.319219367,1.319219367,0
2022-06-03 05:00:00-04:00,0.074502224,0.001990917,0.003930133,0,0.001133883,0.03029735,0.106544829,0.064007683,0,0.032027782,0.644177156,0.00597575,0.014408466,0.015149349,0.002572817,-0.049990861,-0.051201966,0.003121583,0.000457083,0.0039844,0.199006865,1.315930337,1.315930337,0
2022-06-03 06:00:00-04:00,0.080493341,0.0019904,0.003948933,0,0.0011487,0.030456917,0.107148629,0.06451235,0,0.032171632,0.644939458,0.00211035,0.014028499,0.015385132,0.002578217,-0.047746908,-0.049052386,0.0031155,0.0010209,0.00415105,0.199200049,1.312085253,1.312085253,0
2022-06-03 07:00:00-04:00,0.083937174,0.002006183,0.003934667,0.328368314,0.001136983,0.030390533,0.106912346,0.064385617,0,0.032062982,0.642330666,0.00805055,0.068037393,0.015136565,0.002586767,0.072975647,0.072949433,0.003120117,0.000600017,0.00409735,0.19876423,1.471427897,1.471427897,0
2022-06-03 08:00:00-04:00,0.066052493,0.00199485,0.0039548,0,0.001137633,0.030290467,0.106699779,0.064085967,0,0.032101299,0.641875391,0.00209635,0.106949872,0.014958749,0.0025755,0.374540861,0.372511866,0.00311205,0.00079825,0.004110967,0.198892531,0.543693351,0.543693351,0
