Timestamp,Z11_E_opening (%),Z11_S_opening (%),Z12_S_opening (%),Z13_S_opening (%),Z13_W_opening (%),Z15_N_opening (%),Z15_W_opening (%),Z16_N_opening (%),Z17_N_opening (%),Z1_Solar_damper_opening (%),Z1_S_opening (%),Z21_E_opening (%),Z21_Sky_opening (%),Z21_S_opening (%),Z22_S_opening (%),Z23_Sky_opening (%),Z23_S_opening (%),Z23_W_opening (%),Z24_opening (%),Z24_Sky_opening (%),Z25_N_opening (%),Z25_Sky_opening (%),Z25_W_opening (%),Z26_N_opening (%),Z27_N_opening (%),Z27_Sky_opening (%),Z31_Sky_opening (%),Z31_S_opening (%),Z32_W_opening (%),Z33_N_opening (%),Z33_Sky_opening (%),Z3_N_opening (%),Z4_N_opening (%),Z5_N_opening (%)
2022-06-01 22:00:00-04:00,35.63333333333333,35.63333333333333,52.23333333333333,50.43333333333333,50.35,32.416666666666664,49.18333333333333,32.416666666666664,33.983333333333334,0.0,50.55,52.55,52.45,52.38333333333333,47.583333333333336,47.5,47.583333333333336,47.583333333333336,54.266666666666666,57.4,0.0,0.0,0.0,50.766666666666666,50.766666666666666,50.91666666666666,0.0,0.0,94.0,93.18333333333334,98.06666666666666,39.73333333333333,38.98333333333333,11.333333333333334
2022-06-01 23:00:00-04:00,49.96666666666667,50.13333333333333,81.61666666666666,75.61666666666666,75.61666666666666,68.78333333333333,85.78333333333333,68.78333333333333,40.61666666666667,0.0,71.43333333333334,90.95,91.11666666666666,91.11666666666666,77.25,77.41666666666667,76.73333333333333,76.56666666666666,96.31666666666666,99.26666666666668,0.0,0.0,0.0,90.71666666666668,90.71666666666668,90.88333333333334,0.0,0.0,94.0,94.0,100.0,77.71666666666667,52.7,13.683333333333334
2022-06-02 00:00:00-04:00,48.38333333333333,48.46666666666667,94.15,88.15,87.9,89.41666666666667,99.9,89.41666666666667,17.466666666666665,0.0,72.2,99.83333333333331,99.83333333333331,99.83333333333331,77.81666666666666,77.56666666666666,75.65,75.73333333333333,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,94.0,94.0,100.0,99.55,42.55,13.083333333333334
2022-06-02 01:00:00-04:00,27.25,27.3,98.06666666666666,92.33333333333331,92.41666666666669,97.75,100.0,97.75,0.2833333333333333,0.0,72.93333333333334,91.7,58.86666666666667,91.66666666666669,53.81666666666667,37.43333333333333,52.0,52.0,91.66666666666669,58.833333333333336,0.0,0.0,0.0,91.7,91.66666666666669,67.28333333333333,0.0,0.0,67.33333333333333,67.36666666666666,58.833333333333336,91.7,31.883333333333333,8.533333333333333
2022-06-02 02:00:00-04:00,3.066666666666667,3.083333333333333,19.75,18.9,18.98333333333333,19.766666666666666,19.666666666666668,19.766666666666666,0.0,0.0,12.316666666666666,15.333333333333334,0.0,15.416666666666666,9.783333333333331,0.0,9.883333333333333,9.916666666666666,15.4,0.0,0.0,0.0,0.0,15.366666666666667,15.583333333333334,0.0,0.0,0.0,6.733333333333333,5.933333333333334,0.45,15.433333333333334,5.05,1.6333333333333333
2022-06-02 03:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.633333333333334,4.65,0.0,0.0,0.0
2022-06-02 04:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,10.083333333333334,0.0,0.0,0.0
2022-06-02 05:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0
2022-06-02 06:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0
2022-06-02 07:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0
