Timestamp,BTU10(Z21+22+23+24+25+26+27)_ReturnT (C),BTU10(Z21+22+23+24+25+26+27)_SupplyT (C),BTU11(Z32+33)_ReturnT (C),BTU11(Z32+33)_SupplyT (C),BTU13(Z31)_ReturnT (C),BTU13(Z31)_SupplyT (C),BTU5(Z2+3+4+5)_ReturnT (C),BTU5(Z2+3+4+5)_SupplyT (C),BTU6(Z1)_ReturnT (C),BTU6(Z1)_SupplyT (C),BTU7(Z14+15+16+17)_ReturnT (C),BTU7(Z14+15+16+17)_SupplyT (C),BTU8(Z11+12+13)_ReturnT (C),BTU8(Z11+12+13)_SupplyT (C),BTU10(Z21+22+23+24+25+26+27)_energy (kBTU/h),BTU10(Z21+22+23+24+25+26+27)_flow (GPM),BTU11(Z32+33)_energy (kBTU/h),BTU11(Z32+33)_flow (GPM),BTU13(Z31)_energy (kBTU/h),BTU13(Z31)_flow (GPM),BTU5(Z2+3+4+5)_energy (kBTU/h),BTU5(Z2+3+4+5)_flow (GPM),BTU6(Z1)_energy (kBTU/h),BTU6(Z1)_flow (GPM),BTU7(Z14+15+16+17)_energy (kBTU/h),BTU7(Z14+15+16+17)_flow (GPM),BTU8(Z11+12+13)_energy (kBTU/h),BTU8(Z11+12+13)_flow (GPM)
2023-06-02 03:00:00-04:00,22.56322924,22.60674936,22.98428274,22.82020088,24.51602003,24.46968001,20.67921356,21.52086625,22.47563412,22.04587117,22.0419106,22.67355198,22.78338333,22.44565872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 04:00:00-04:00,22.56389321,22.57001347,22.93217009,22.78057007,24.30243379,24.26101713,20.69106596,21.52765472,22.42867371,22.00047196,21.98573784,22.61144998,22.8300339,22.45779836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 05:00:00-04:00,22.5712139,22.53697579,22.89438396,22.75194133,24.15243982,24.12264322,20.69263388,21.47242596,22.34795033,21.9240823,21.9237305,22.53340085,22.86324974,22.43491688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 06:00:00-04:00,22.56730991,22.49693807,22.8654456,22.72412448,24.01398101,23.98804587,20.66883695,21.35558369,22.27634395,21.85112996,21.87934021,22.46072663,22.87641822,22.39645273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 07:00:00-04:00,22.57170179,22.49314121,22.86383519,22.7176164,23.98201543,23.96972769,20.64420711,21.20966696,22.27952579,21.85316672,21.88683651,22.42973723,22.85972472,22.39023357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 08:00:00-04:00,22.61338792,22.568342,22.92606615,22.77152104,24.12604848,24.13461071,20.65055847,21.15355718,22.33805423,21.89107174,21.96256503,22.48320594,22.86932536,22.45026836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 09:00:00-04:00,22.69468011,22.68105747,23.02498182,22.88510026,24.35983121,24.40889154,20.67252117,21.14730227,22.4183043,21.94848343,22.07024221,22.59126275,22.89709466,22.50815208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 10:00:00-04:00,22.80374301,22.81738691,23.13338527,23.02369492,24.59263441,24.66868973,20.71416403,21.16608019,22.49647571,22.01556022,22.17896871,22.70424935,22.93371335,22.57082826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 11:00:00-04:00,22.93595886,22.9849826,23.26441631,23.18473851,24.92871631,25.00834741,20.76117946,21.20483179,22.57562976,22.08913393,22.28822645,22.80651933,22.98030309,22.63870946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 12:00:00-04:00,23.09390139,23.19898733,23.4387296,23.36670445,25.4293345,25.57842862,20.80123499,21.25529755,22.66862354,22.17225364,22.3944457,22.90797785,23.04719939,22.71613135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
